epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3422,1.07121,4.33945,1.45176,0.02484,0.89789,0.09921,0.08555,0.60447,4.19061,1.08239,0.000110112,0.000110112,0.000110112
2,89.4702,0.96973,3.85956,1.3336,0.26735,0.48124,0.30967,0.26201,0.62674,3.91283,1.08988,0.000213815,0.000213815,0.000213815
3,133.218,1.02779,3.43487,1.37702,0.38705,0.4812,0.448,0.37426,0.68683,3.30574,1.14717,0.000310193,0.000310193,0.000310193
4,176.645,1.02795,3.04646,1.37897,0.41409,0.58365,0.52572,0.39097,1.0307,3.17199,1.38703,0.000300033,0.000300033,0.000300033
5,219.613,0.97348,2.7569,1.31521,0.45508,0.62985,0.61902,0.53081,0.64615,2.74898,1.09093,0.000289044,0.000289044,0.000289044
6,264.124,0.91827,2.53903,1.27625,0.5381,0.625,0.6869,0.60127,0.5403,2.49021,1.05624,0.000278055,0.000278055,0.000278055
7,307.32,0.86691,2.31191,1.21629,0.71965,0.67092,0.76827,0.67859,0.52344,2.20962,1.02566,0.000267066,0.000267066,0.000267066
8,350.343,0.8496,2.17754,1.22509,0.79218,0.65489,0.79646,0.71286,0.51334,2.06116,1.00257,0.000256077,0.000256077,0.000256077
9,393.48,0.81,2.01769,1.18814,0.79072,0.71549,0.81377,0.74172,0.46118,1.82103,0.96875,0.000245088,0.000245088,0.000245088
10,441.667,0.79316,1.95327,1.18484,0.72734,0.788,0.84551,0.76972,0.47469,1.79352,0.97675,0.000234099,0.000234099,0.000234099
11,490.739,0.7726,1.81715,1.15958,0.78297,0.76478,0.85152,0.77722,0.47219,1.72116,1.00334,0.00022311,0.00022311,0.00022311
12,538.842,0.77453,1.75155,1.17049,0.7289,0.85224,0.85879,0.77632,0.45458,1.56351,0.97898,0.000212121,0.000212121,0.000212121
13,590.303,0.74209,1.65959,1.14868,0.87711,0.74975,0.88444,0.81139,0.44832,1.49696,0.95078,0.000201132,0.000201132,0.000201132
14,639.39,0.7426,1.62779,1.15487,0.85275,0.77547,0.89959,0.81439,0.45305,1.41537,0.96782,0.000190143,0.000190143,0.000190143
15,682.203,0.72461,1.53407,1.14094,0.80836,0.83048,0.88665,0.80705,0.46586,1.37697,0.98688,0.000179154,0.000179154,0.000179154
16,731.031,0.71201,1.47735,1.13482,0.86107,0.80024,0.90187,0.82638,0.47354,1.34549,0.95223,0.000168165,0.000168165,0.000168165
17,778.87,0.68761,1.45253,1.11635,0.91232,0.79281,0.91597,0.84418,0.43466,1.25986,0.95204,0.000157176,0.000157176,0.000157176
18,821.788,0.65755,1.38632,1.09743,0.81473,0.8868,0.92641,0.85382,0.4352,1.20466,0.95955,0.000146187,0.000146187,0.000146187
19,865.03,0.63871,1.31774,1.09007,0.83135,0.9023,0.93401,0.85788,0.43605,1.12664,0.966,0.000135198,0.000135198,0.000135198
20,912.912,0.66669,1.33062,1.10454,0.85682,0.88395,0.93478,0.87107,0.41928,1.12892,0.95214,0.000124209,0.000124209,0.000124209
21,998.538,0.48606,1.20673,1.01234,0.83828,0.88174,0.92168,0.85262,0.41641,1.16163,0.93609,0.00011322,0.00011322,0.00011322
22,1041.38,0.44343,1.0984,0.96836,0.90622,0.86639,0.9263,0.86746,0.40155,1.07883,0.92629,0.000102231,0.000102231,0.000102231
23,1084.42,0.41764,1.03721,0.96136,0.89841,0.87622,0.93169,0.87069,0.3924,1.02512,0.9315,9.1242e-05,9.1242e-05,9.1242e-05
24,1133.14,0.41715,1.00328,0.95489,0.86939,0.8917,0.92912,0.87064,0.39686,1.05583,0.92967,8.0253e-05,8.0253e-05,8.0253e-05
25,1181.32,0.40247,0.94988,0.93712,0.85621,0.8883,0.92642,0.86886,0.39633,0.99018,0.92768,6.9264e-05,6.9264e-05,6.9264e-05
26,1228.84,0.3809,0.92677,0.91855,0.87811,0.9216,0.93769,0.88118,0.39119,0.96661,0.91607,5.8275e-05,5.8275e-05,5.8275e-05
27,1276.85,0.37827,0.89234,0.92091,0.90109,0.90103,0.93578,0.87745,0.37873,0.93604,0.91273,4.7286e-05,4.7286e-05,4.7286e-05
28,1324.8,0.36223,0.88126,0.91978,0.89417,0.91158,0.94133,0.87798,0.38173,0.93549,0.91348,3.6297e-05,3.6297e-05,3.6297e-05
29,1367.73,0.36014,0.87576,0.91895,0.89798,0.90369,0.93811,0.88938,0.36688,0.9251,0.90369,2.5308e-05,2.5308e-05,2.5308e-05
30,1416.33,0.3433,0.83956,0.90345,0.91705,0.89955,0.94324,0.8922,0.36535,0.91675,0.90082,1.4319e-05,1.4319e-05,1.4319e-05
