epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1887,1.12673,3.20933,1.38828,0.37398,0.51775,0.51077,0.43933,0.62568,2.45179,0.97327,0.000110112,0.000110112,0.000110112
2,207.851,1.06161,2.12257,1.29613,0.75531,0.54479,0.73988,0.63497,0.6025,2.03534,1.00818,0.000216734,0.000216734,0.000216734
3,317.974,1.06833,1.85075,1.32464,0.63762,0.72006,0.78008,0.6197,0.74167,1.53193,1.14355,0.00031896,0.00031896,0.00031896
4,433.195,1.02297,1.74378,1.32379,0.65437,0.69989,0.78395,0.63247,0.69696,1.50268,1.09735,0.00031322,0.00031322,0.00031322
5,535.27,0.99102,1.57936,1.28274,0.70755,0.79435,0.83609,0.70111,0.66358,1.21479,1.10013,0.000306626,0.000306626,0.000306626
6,747.22,0.93731,1.47593,1.2773,0.70058,0.80502,0.87837,0.75707,0.57515,1.17393,1.02884,0.000300033,0.000300033,0.000300033
7,925.298,0.89864,1.32596,1.25286,0.77015,0.79852,0.86078,0.7456,0.62113,1.03826,1.09768,0.00029344,0.00029344,0.00029344
8,1028.71,0.89674,1.28914,1.26853,0.78516,0.83519,0.91771,0.7905,0.62288,0.88316,1.09436,0.000286846,0.000286846,0.000286846
9,1148.07,0.83874,1.2257,1.2251,0.77841,0.8711,0.91321,0.82544,0.52157,0.82586,1.02355,0.000280253,0.000280253,0.000280253
10,1262.47,0.8393,1.14796,1.23591,0.74919,0.86656,0.91808,0.81882,0.53313,0.76851,1.03999,0.000273659,0.000273659,0.000273659
11,1422.09,0.81898,1.08826,1.22111,0.8133,0.80754,0.9013,0.79884,0.54253,0.81462,1.04089,0.000267066,0.000267066,0.000267066
12,1550.12,0.79554,1.05489,1.20882,0.80333,0.85724,0.92133,0.81709,0.53546,0.73274,1.02784,0.000260473,0.000260473,0.000260473
13,1655.16,0.78093,1.00711,1.19044,0.83384,0.75653,0.89192,0.80625,0.54306,0.7753,1.05284,0.000253879,0.000253879,0.000253879
14,1774.51,0.77789,1.02736,1.19998,0.77685,0.9078,0.94736,0.85453,0.54129,0.69282,1.04464,0.000247286,0.000247286,0.000247286
15,1891.25,0.73719,0.93055,1.1764,0.80978,0.8871,0.92998,0.83471,0.51193,0.6604,1.04469,0.000240692,0.000240692,0.000240692
16,2019.84,0.7607,0.9082,1.19083,0.84215,0.84529,0.90833,0.83004,0.4764,0.64348,1.02005,0.000234099,0.000234099,0.000234099
17,2136.18,0.74499,0.94012,1.17615,0.87808,0.92528,0.95473,0.87197,0.46191,0.54881,1.0027,0.000227506,0.000227506,0.000227506
18,2254.76,0.7195,0.88805,1.15446,0.85219,0.85536,0.93329,0.84576,0.47906,0.59163,1.00352,0.000220912,0.000220912,0.000220912
19,2372.54,0.70171,0.82481,1.15919,0.8676,0.89376,0.94505,0.86148,0.48388,0.59003,1.06202,0.000214319,0.000214319,0.000214319
20,2493.03,0.70271,0.83546,1.15851,0.87948,0.82025,0.93561,0.8704,0.45329,0.5809,0.98754,0.000207725,0.000207725,0.000207725
21,2611.32,0.68607,0.80338,1.15379,0.89104,0.86236,0.94342,0.86935,0.45548,0.56947,1.00039,0.000201132,0.000201132,0.000201132
22,2730.81,0.66853,0.77931,1.12883,0.90684,0.84999,0.95083,0.87861,0.42415,0.5464,0.98011,0.000194539,0.000194539,0.000194539
23,2857.3,0.66092,0.77122,1.13123,0.92718,0.82848,0.94339,0.87678,0.4459,0.52405,0.99906,0.000187945,0.000187945,0.000187945
24,2980.16,0.6567,0.72649,1.12893,0.87682,0.86986,0.95073,0.8764,0.44506,0.54265,1.00507,0.000181352,0.000181352,0.000181352
25,3104.33,0.64162,0.73446,1.11337,0.89869,0.90294,0.94714,0.8814,0.42582,0.4757,0.96319,0.000174758,0.000174758,0.000174758
26,3224.05,0.62127,0.72889,1.11036,0.89459,0.8824,0.93937,0.87866,0.41274,0.51076,0.97562,0.000168165,0.000168165,0.000168165
27,3344.33,0.62527,0.70535,1.11921,0.91467,0.9198,0.95854,0.89031,0.4102,0.44633,0.96477,0.000161572,0.000161572,0.000161572
28,3482.35,0.60969,0.67132,1.1079,0.89599,0.89268,0.95597,0.88917,0.42638,0.49331,0.97872,0.000154978,0.000154978,0.000154978
29,3600.51,0.61196,0.67673,1.10487,0.91016,0.90101,0.96764,0.8977,0.41553,0.45619,0.97867,0.000148385,0.000148385,0.000148385
30,3712.36,0.57351,0.63146,1.08563,0.93694,0.9312,0.97228,0.91625,0.40302,0.37893,0.96831,0.000141791,0.000141791,0.000141791
31,3854.19,0.58603,0.628,1.07888,0.92333,0.90776,0.96824,0.90933,0.41888,0.43612,0.97188,0.000135198,0.000135198,0.000135198
32,4001.18,0.56918,0.62851,1.0753,0.93663,0.90257,0.95957,0.8966,0.41115,0.4059,0.97295,0.000128605,0.000128605,0.000128605
33,4150.51,0.55298,0.58709,1.05857,0.92277,0.92846,0.97118,0.91055,0.39585,0.38887,0.94861,0.000122011,0.000122011,0.000122011
34,4269.87,0.58268,0.65153,1.09191,0.90882,0.91615,0.96712,0.91009,0.38485,0.39583,0.94467,0.000115418,0.000115418,0.000115418
35,4375.59,0.55558,0.61835,1.05904,0.89153,0.89358,0.95781,0.89512,0.41348,0.46501,0.97194,0.000108824,0.000108824,0.000108824
36,4508.03,0.53874,0.57242,1.06145,0.8966,0.89732,0.95472,0.89187,0.40902,0.45937,0.94413,0.000102231,0.000102231,0.000102231
37,4613.07,0.55335,0.57477,1.07127,0.93252,0.926,0.96516,0.91239,0.39253,0.39858,0.94111,9.56376e-05,9.56376e-05,9.56376e-05
38,4722.95,0.51798,0.53636,1.04192,0.93007,0.92529,0.9687,0.91748,0.36133,0.36259,0.92338,8.90442e-05,8.90442e-05,8.90442e-05
39,4901.71,0.5061,0.53445,1.0277,0.92988,0.88875,0.9611,0.9059,0.39547,0.41607,0.94656,8.24508e-05,8.24508e-05,8.24508e-05
40,5044.07,0.49684,0.52184,1.03484,0.93514,0.93554,0.96357,0.90748,0.38059,0.37694,0.92928,7.58574e-05,7.58574e-05,7.58574e-05
41,5230.95,0.34927,0.25903,0.90694,0.93958,0.92195,0.96627,0.907,0.38155,0.38642,0.94934,6.9264e-05,6.9264e-05,6.9264e-05
42,5361.64,0.33556,0.23982,0.89136,0.8984,0.91236,0.96332,0.91352,0.3694,0.36441,0.92571,6.26706e-05,6.26706e-05,6.26706e-05
43,5546.47,0.32722,0.2428,0.89045,0.93988,0.91057,0.9661,0.91752,0.3576,0.38812,0.92329,5.60772e-05,5.60772e-05,5.60772e-05
44,5722.46,0.31548,0.2328,0.87361,0.9253,0.90429,0.96945,0.92087,0.36803,0.39148,0.92632,4.94838e-05,4.94838e-05,4.94838e-05
45,5842.57,0.31213,0.22675,0.88344,0.94914,0.86539,0.96624,0.91846,0.36304,0.38784,0.91481,4.28904e-05,4.28904e-05,4.28904e-05
46,5969.52,0.29301,0.21987,0.86222,0.92893,0.89678,0.96159,0.91151,0.35923,0.41019,0.91969,3.6297e-05,3.6297e-05,3.6297e-05
47,6098.59,0.27675,0.20607,0.85687,0.93721,0.89863,0.96772,0.91361,0.35633,0.36617,0.91895,2.97036e-05,2.97036e-05,2.97036e-05
48,6233.51,0.27782,0.20525,0.86423,0.94404,0.90039,0.97274,0.92203,0.35119,0.33251,0.91449,2.31102e-05,2.31102e-05,2.31102e-05
49,6349,0.27409,0.20533,0.86489,0.95438,0.91105,0.97395,0.92488,0.34666,0.31346,0.91539,1.65168e-05,1.65168e-05,1.65168e-05
50,6468.82,0.26214,0.19304,0.84708,0.95296,0.91233,0.97515,0.92394,0.35649,0.31864,0.9206,9.9234e-06,9.9234e-06,9.9234e-06
